"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","has login","chromium","Thu Oct 02 00:37:43 EEST 2025","skipped","Thu Oct 02 00:37:43 EEST 2025","My First Test Suite","x.spec.js","",""
"","5181","login page UI and login flow","chromium","Thu Oct 02 00:37:36 EEST 2025","passed","Thu Oct 02 00:37:41 EEST 2025","My First Test Suite","x.spec.js","",""
